reward,steps
-60.0871781698,199
-70.710481052,199
218.747106937,147
207.580146959,88
270.39505686,123
202.999028269,89
200.731465501,86
260.855298204,149
256.988514756,152
268.093228664,146
210.439057384,89
272.030851016,150
216.569974107,109
216.245112093,113
194.500746407,83
206.564642927,89
203.67187813,87
218.942965246,96
221.007897531,101
206.369555638,87
239.041291936,105
263.477160723,148
223.809253392,117
270.053668059,148
218.018613229,116
226.418719083,115
199.141200061,86
215.970422932,111
221.151612932,110
294.008000207,159
210.375948872,89
275.051009281,150
265.696037078,150
205.801403152,90
224.819024107,97
231.539895843,102
216.435712861,111
223.43749134,113
224.448248322,114
202.39592189,85
260.445907636,146
222.485818174,96
224.524740555,98
277.348633477,154
212.176632954,90
228.465745572,99
199.600980854,89
272.319808359,153
274.526560911,155
231.987215373,102
