reward,steps
-57.2681550971,199
-102.149709142,199
193.597667071,194
216.098604538,120
234.520157724,172
288.569945653,162
202.437252241,86
250.2498585,144
260.586916812,146
214.229010201,92
266.652231063,149
264.13553494,146
199.238012474,86
217.523328807,109
206.16562709,90
212.234757596,92
270.463710716,152
275.025733143,124
198.511381931,84
277.497430173,152
267.768727358,149
250.488043945,148
220.828073226,97
210.370878296,89
204.814524993,90
274.356826348,156
276.156454671,155
296.366060657,162
208.48747781,88
256.349136877,150
260.670301598,147
200.681581969,85
219.42799552,94
256.612071727,147
198.513394325,84
262.126520307,147
206.578642445,90
273.289177714,152
269.279385603,152
274.807975764,152
276.57094517,153
272.6278994,155
287.232515429,158
260.932300617,145
258.291022634,149
271.401660833,150
204.578529303,86
267.158185221,150
214.204370407,93
211.054851763,91
