reward,steps
-530.419033982,199
-559.504505098,199
-544.14044802,199
-591.309855734,199
-561.431074037,199
-553.114194731,199
-554.452092887,199
-525.592089872,199
-580.778603076,199
-556.143176288,199
-566.630095371,199
-543.440685212,199
-564.67821038,199
-473.463144436,199
-542.561373922,199
-528.072615481,199
-405.241180314,199
-502.323945666,199
815.536968789,142
879.917012096,112
-334.54509895,199
910.598211049,109
851.268255216,160
-530.827882692,199
600.280302735,199
596.998217074,195
-446.196739341,199
685.883262306,184
709.983797248,179
887.023602854,95
905.677791433,103
761.287754032,170
889.374694555,114
783.456096016,176
851.190385288,149
889.64323334,112
740.24559365,162
-395.259642949,199
907.614992137,97
762.520870471,170
-366.935452362,199
904.347286739,93
-540,199
916.84374148,92
899.718905035,97
-481.008362432,199
-544,199
918.436707532,91
916.100755518,92
-400.700468177,199
