reward,steps
-540.758227336,199
-551.011202286,199
-533.11560809,199
-591.340352215,199
-565.366716928,199
-604.247874555,199
-549.672859054,199
-531.849946901,199
-583.822706186,199
-556.430361013,199
-550.370689324,199
-542.783867342,199
-554.29669207,199
-522.732441349,199
-556.104244395,199
-538.03623968,199
-565.342291398,199
-590.97510178,199
-572.66450902,199
-538.913492548,199
-518.363852623,199
-548.307262341,199
-568.865234409,199
-544.87314081,199
-537.642324094,199
-542.270963271,199
-560.76432895,199
-571.733887747,199
-562.311817644,199
-541.995332839,199
-587.520642851,199
-567.088976774,199
-531.07235217,199
-490.743512346,199
-571.589366939,199
-578.221635271,199
-533.665743343,199
-536.109856119,199
-541.446387402,199
-535.528230355,199
-574.12363111,199
-539.884966638,199
-545.387478898,199
-533.041938335,199
-561.703013564,199
-552.113122654,199
-552.09817238,199
-526.160332526,199
-574.066579129,199
-569.634957309,199
-552.92926261,199
-537.709039662,199
-578.342841739,199
-550.873260187,199
-570.762738947,199
-524.807133969,199
-544.50720129,199
-566.590829823,199
-534.996625806,199
-517.35139141,199
-539.145282717,199
-550.634694989,199
-561.274355673,199
-530.813524277,199
-542.636053274,199
-583.427753266,199
-562.190335587,199
-561.423271946,199
-550.081279027,199
-553.471872935,199
-533.120894345,199
-516.45075952,199
-556.577887304,199
-559.322458673,199
-524.008524293,199
-549.671077114,199
-564.065090415,199
-565.412641606,199
-554.388486625,199
-552.845025237,199
-489.902192162,199
-570.79564701,199
-559.597488779,199
-575.273793162,199
-530.877356625,199
-554.356749569,199
-518.340232644,199
-535.819959782,199
-535.774889206,199
-578.697178365,199
-564.876885128,199
-562.238678014,199
-552.75706403,199
-528.762622105,199
-524.016962288,199
-541.683052353,199
-533.852170476,199
-585.588561943,199
-530.056724452,199
-545.449109039,199
-543.572807768,199
-529.874599118,199
-428.409231529,199
-518.923653696,199
-508.198397258,199
-484.214492421,199
-207.562553999,135
-473.595056702,199
-202.018229612,135
-109.307761407,115
-146.592838939,154
-126.633394469,151
-71.6568266419,87
-106.268252069,114
-128.761586182,146
-147.78518412,168
-133.599621587,145
-70.4183700084,84
-140.03542892,150
-132.290886273,151
-71.1347046516,87
-133.813971301,154
-70.3010048562,85
-70.4563630349,86
-144.860918722,153
-131.699145385,153
-130.95612012,155
-88.2847173354,103
-125.054737428,156
-149.586239386,154
-82.2221572204,107
-134.977482973,159
-70.6476354903,102
-126.904714373,150
-159.75572567,153
-74.4998145533,89
-77.5510386225,125
-71.2331703158,92
-128.413265668,148
-130.567249585,154
-148.854827203,168
-133.279562232,170
-129.646365733,148
-76.1854398215,84
-71.4901328577,89
-139.486560579,153
-74.5613651552,90
-69.9982129866,84
-132.204573243,152
-70.6703709357,87
-128.736647772,159
-139.084010384,149
-71.8053043986,90
-136.098786925,151
-146.47163545,152
-145.214133335,151
-128.430977271,151
-73.282995117,83
-132.860850159,158
-140.801563744,151
-73.331703055,99
-67.3229786339,85
-125.182160857,147
-73.8808256467,86
-133.523628101,156
-130.708663919,148
-71.8002169479,87
-69.9062864026,83
-134.040291156,167
-141.446061043,172
-127.405126388,150
-74.9915268966,87
-129.064968134,149
-136.093513994,154
-70.242508897,85
-72.4115737834,93
-69.954471954,83
-70.3623210439,83
-125.288396393,159
-144.080016546,152
-132.265273608,164
-70.3223342789,85
-153.40378897,157
-70.585263878,84
-137.426736049,150
-69.7303042403,83
-69.6815526142,97
-128.846060156,162
-73.9572676297,85
-73.7460310581,84
-66.9737066556,84
-131.13986933,152
-150.104962636,153
-131.193967726,153
-124.320040985,159
-131.391117344,150
-156.476447221,152
-71.1230993459,110
-129.915016844,154
-75.5753775271,89
