reward,steps
-514.819839689,199
-605.453042876,199
-501.062194313,199
-520.196980193,199
-584.615105173,199
-491.842634005,199
-489.24436855,199
-528.177688201,199
-460.810202516,199
-433.172524216,199
-476.442816391,199
-537.216043508,199
-474.034207708,199
-414.124429888,199
-428.89725014,199
-81.8363070956,117
-68.1980681518,85
-72.7161317467,92
-80.0428463246,90
-132.293804615,145
-69.7442581675,100
-67.5904152434,85
-74.8497718041,120
-103.498325455,112
-138.478581626,151
-70.6651135495,85
-73.4101086094,83
-129.00276586,149
-98.7774899931,109
-128.073524183,148
-127.902441894,148
-71.0203110582,88
-159.318426674,152
-135.174431159,152
-132.329140502,150
-75.103026484,92
-129.539378437,153
-72.0732339981,94
-128.584602597,162
-134.903950486,149
-128.318752583,156
-73.6270827288,111
-70.678236227,89
-78.4185133889,85
-70.8636407988,86
-127.629349334,149
-67.9199024827,90
-70.7882818005,85
-131.217387082,150
-125.658238548,149
