reward,steps
-529.672869585,199
-564.560652874,199
-566.70972103,199
-525.710174966,199
-545.605895572,199
-535.59956053,199
-556.624386787,199
-529.427130155,199
-563.681848263,199
-536.832734375,199
-539.614015579,199
-467.642193067,199
-534.614701939,199
-487.386127555,199
-459.034592391,199
-470.456938448,199
-440.510335013,199
-392.961812827,199
-208.052190927,179
-101.143530923,114
-72.8434144404,95
-135.717191652,156
-68.6315319514,91
-68.27752548,88
-132.275529995,151
-151.533426746,166
-67.6738732708,85
-73.4053845092,94
-129.854756066,147
-68.1431033211,85
-137.684292252,161
-67.9783022377,86
-73.5545501996,102
-130.936865006,156
-68.0945086219,87
-141.310655249,150
-73.2863072578,91
-72.0460212102,88
-124.445061688,145
-71.0824638371,86
-75.298897269,85
-66.8671741264,83
-139.270460143,159
-136.83329458,149
-68.3253545704,92
-130.86229147,153
-128.069734482,158
-68.8109732297,92
-69.201229513,94
-134.277669385,157
