reward,steps
-38.6862531165,199
-63.1038407783,199
-69.9738125669,199
-77.6438251188,199
-55.6244748707,199
-74.9868556358,199
-61.9554070114,199
-64.4962497982,199
-94.9428552141,199
-53.5749511502,199
-68.8349050615,199
-33.2127466804,199
14498.9324612,153
28508.2293181,131
38763.9840589,138
-15.0318149134,199
1.29866713747,199
1894.92386737,197
-16.8657813918,199
18946.8487538,171
14473.2669296,153
14183.9470687,154
16278.421349,147
8175.07609248,174
-48.4494072624,199
25.9831685472,199
12688.6211751,159
8203.54296538,174
18975.2039702,138
-55,199
-21.1582571602,199
28081.9859218,146
10652.5670051,166
15146.5021385,151
86904.1664936,95
10950.3872137,165
-76,199
57085.9572772,88
7881.10447075,175
-52,199
-52,199
-79,199
-55,199
-64,199
-48.4489520381,199
-48.5952816096,199
-58,199
59589.3465383,83
-58,199
4954.68026947,185
