reward,steps
-530.900292074,199
-554.281395292,199
-547.877829027,199
-591.337114939,199
-546.168940113,199
-552.957771747,199
-553.186499929,199
-519.118381643,199
-583.048808044,199
-562.507772132,199
-574.112756701,199
-560.007569158,199
-557.876815952,199
-552.976755186,199
-512.527081293,199
-539.252616001,199
-472.141325708,199
-431.746382341,199
3537.31033196,179
-376.455861739,199
2738.68334359,130
-503.225292633,199
-451.094940692,199
3437.38930232,199
3632.64390211,135
4555.89818283,140
4655.59929951,116
3646.88964277,138
3631.37056942,131
3756.08644178,116
3693.12628095,123
3651.63220236,125
3585.44629052,164
3617.02001841,130
5625.79018848,137
-382.42586925,199
4462.87864217,186
4542.09429587,175
4478.93966734,183
3553.20509252,177
4641.0009255,126
4458.56310392,175
4479.16915192,179
3542.81113024,182
3485.4526183,178
4484.98729549,178
-540,199
3547.87248982,193
-427.942843718,199
-544,199
