reward,steps
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-183.0,182
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-147.0,146
-124.0,123
-171.0,170
-153.0,152
-173.0,172
-171.0,170
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-140.0,139
-132.0,131
-196.0,195
-200.0,199
-200.0,199
-199.0,198
-149.0,148
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
-200.0,199
