reward,steps
-529.634134535,199
-587.347309667,199
-558.872142906,199
-568.212392828,199
-484.771147336,199
-530.400049924,199
-511.709134379,199
-523.993394239,199
-537.182502796,199
-405.848112888,199
-543.604082951,199
-543.438947163,199
-217.170662314,138
-227.982170833,147
-189.848889442,179
-148.842927337,157
-106.361946146,112
-130.618139194,157
-79.9370730203,102
-67.1100925616,84
-134.169398713,152
-68.0886533269,89
-126.407382454,159
-104.112846662,113
-125.593565428,147
-126.253989072,154
-127.793691809,149
-125.60766052,151
-124.794453996,150
-72.7079440608,97
-70.6330125348,86
-132.658333522,168
-134.039960871,162
-71.1821884469,89
-132.370791997,157
-71.2417285837,89
-95.3341237546,110
-134.056235958,156
-130.053210003,158
-130.038582717,149
-69.7527634612,94
-72.8214498136,118
-71.4365063818,90
-72.8242110702,88
-137.265652399,148
-69.0615477375,93
-106.048414327,112
-130.770995613,151
-130.429425691,166
-70.1037125754,102
