reward,steps
-522.185118991,199
-567.834508057,199
-493.205784765,199
-531.944636369,199
-458.577355275,199
-240.270793158,153
-148.382129537,115
-111.904916645,121
-132.232235738,151
-100.266062649,102
-68.4373678924,93
-102.535032605,115
-84.4056288359,139
-136.71078664,149
-117.455090286,119
-75.1624020367,106
-230.710086139,199
-76.2857964163,91
-103.232858187,116
-67.6081364364,87
-96.4115644912,111
-80.6525872009,98
-101.545575239,118
-71.9876176084,89
-106.138860084,119
-68.285619282,88
-97.5332851888,112
-102.962700623,116
-103.687974942,120
-134.356938106,153
-73.2135113915,95
-70.399361413,92
-106.06870836,119
-71.9347609884,89
-111.897731497,121
-96.0534255171,111
-96.3537214106,111
-72.6270452432,88
-99.9125493934,113
-72.3274152345,86
-100.929391009,111
-99.1603585361,113
-126.436396229,150
-135.4207798,154
-125.964911011,153
-104.381241719,117
-107.664826178,117
-126.881036195,156
-68.7000235939,92
-67.5878845558,85
