reward,steps
-529.823058183,199
-551.091828731,199
-497.711915096,199
-545.148758518,199
-445.73536159,199
-441.278635407,199
-415.789403208,199
-208.423223291,166
-148.54492438,166
-72.5211431589,86
-78.0622662898,128
-68.9373713057,93
-138.997126452,153
-135.225855564,153
-67.1153516067,84
-70.2223923002,100
-80.524740302,123
-127.818365663,151
-67.8775184593,88
-125.259458969,155
-124.645818871,150
-141.18249259,154
-125.867544255,151
-72.7258910267,92
-67.6373328715,89
-126.344898542,148
-74.1687017908,103
-73.9194308252,99
-130.577852299,148
-70.6104918922,106
-77.7546487416,102
-128.934396055,155
-125.326228272,158
-127.401196729,145
-130.259099628,150
-73.7584171974,101
-126.488984356,148
-126.819294854,183
-126.85360331,149
-133.396816696,150
-135.899063005,154
-136.914559423,153
-67.8001019013,87
-126.915735535,149
-67.5849256112,87
-71.8359489274,85
-131.371354799,150
-126.695412802,150
-129.63447014,160
-125.612971148,156
